ship_name;standardized_name
de Goude Son;Gouden Zon
de Goudtsbloem;Goudsbloem
Graef Enno;Graaf Enno
Graeff Enno;Graaf Enno
Graef Henr.;Graaf Hendrik
Graef Henric;Graaf Hendrik
Graef Henrick;Graaf Hendrik
Graeff Henrick;Graaf Hendrik
Graef Mourits;Graaf Maurits
Graft;Graft
het Graeuwe Paert;Grauwe Paard
t Graeu Paert;Grauwe Paard
t Graeuwe Paert;Grauwe Paard
Tgraeuwe Paert;Grauwe Paard
de Gravioen;Griffioen
de Griffioen;Griffioen
Griffioen;Griffioen
de Groene Cameel;Groene Kameel
de Groene Pynappel;Groene Pijnappel
Groen.;Groningen
Groeningen;Groningen
Groot Hoorn;Groot Hoorn
de Groot Alexander;Grote Alexander
de Groote Alexander;Grote Alexander
de Groote Allexander;Grote Alexander
de Grote Cristoffel;Grote Christoffel
Groote Christoffel;Grote Christoffel
Grote Christoffel;Grote Christoffel
Grote Cristoffel;Grote Christoffel
d Groote Gerrit;Grote Gerrit
d Grote Gerrit;Grote Gerrit
de Groote Gerrit;Grote Gerrit
de Groote Gerritt;Grote Gerrit
de Grote Gerrit;Grote Gerrit
d'Groote Gerrit;Grote Gerrit
Gr. Gerrit;Grote Gerrit
Grote Gerrit;Grote Gerrit
de Groote Hoop;Grote Hoop
de Groote Liefde;Grote Liefde
de Grote Liefde;Grote Liefde
de Gulde Beker;Gulden Beker
de Haen;Haan
den Haan;Haan
den Haen;Haan
t Haentgen;Haantje
de Haerlem;Haarlem
Haerlem;Haarlem
Haarlem;Haarlem
de Haes;Haas
de Halve Maen;Halve Maan
Hamb.;Hamburg
Harderwijck;Harderwijk
de Haring;Haring
den Harinch;Haring
den Haring;Haring
den Harngh;Haring
de Haringh;Haring
den Harinck;Haring
den Haringh;Haring
Thart;Hart
het Hart;Hart
het Hartt;Hart
t Hart;Hart
t' Hart;Hart
t Hartt;Hart
t'Hart;Hart
t'Hartt;Hart
ti Hart;Hart
Hasselt;Hasselt
de Hasewint;Hazewind
de Hector;Hector
Hector;Hector
Heemskerck;Heemskerk
Heemstede;Heemstede
Heemsteede;Heemstede
Heemsteedt;Heemstede
Hemsteedt;Heemstede
Enoch;Henoch
den Hercules;Hercules
Elversem;Hilversum
Hilleversum;Hilversum
Hilversum;Hilversum
t Hof van Seelandt;Hof van Zeeland
t Hof van Seelant;Hof van Zeeland
t Hof van Zeelandt;Hof van Zeeland
t Hoff van Zeelandt;Hof van Zeeland
t Hoff van Zeelant;Hof van Zeeland
Hollandia;Hollandia
de Hoop;Hoop
Thuijs van Breda;Huis te Breda
Thuys te Breda;Huis te Breda
Thuys van Breda;Huis te Breda
Â´Thuys van Breda;Huis te Breda
t Huys van Breda;Huis te Breda
t Huys van Brede;Huis te Breda
t Huijs van Breda;Huis te Breda
t'Huijs te Breda;Huis te Breda
Thuijs te Marwee;Huis te Merwede
Thuijs te Muijden;Huis te Muiden
t Huijs van Nassau;Huis van Nassau
t Huys van Nassau;Huis van Nassau
t Huys van Schagen;Huis van Schagen
Hulst;Hulst
de Jager;Jager
d Jonge Boer;Jonge Boer
de Jonge Boer;Jonge Boer
de Jonge Boer van de Schell.;Jonge Boer
de Jonge Boer van der Schell.;Jonge Boer
de Jonge Prins Wilhelmus;Jonge Prins Wilhelmus
de Jonge Princesse Emilia;Jonge Prinses Emilia
de Jonge Zaijer;Jonge Zaaier
de Joncker;Jonker
de Josaphat;Josephat
de Juffrou;Juffrouw
de Juffrouw;Juffrouw
de Juffrou van Amelant;Juffrouw van Ameland
de Jupiter;Jupiter
Jupiter;Jupiter
t Calff;Kalf
Cameel;Kameel
d'Cameel;Kameel
de Cameel;Kameel
De Cameel;Kameel
de Camel;Kameel
de Cammeel;Kameel
de Cammel;Kameel
de Camneel;Kameel
Campen;Kampen
Thijsz Campen;Kampen
de Castangeboom;Kastanjeboom
t Casteel de Mina;Kasteel Elmina
t Casteel del Mina;Kasteel Elmina
t Casteel Delmina;Kasteel Elmina
t Casteel El Mina;Kasteel Elmina
T Casteel el Mina;Kasteel Elmina
t Casteel Elmina;Kasteel Elmina
t'Casteel Delmina;Kasteel Elmina
t Casteel van Medenblicq;Kasteel van Medemblik
d Catt;Kat
de Cadt;Kat
de Cat;Kat
de Catt;Kat
de Kat;Kat
Kattenburch;Kattenburg
de Keijser;Keizer
Kemphaen;Kemphaan
d Kievit;Kievit
D Kievit;Kievit
de Kievit;Kievit
de Kievitt;Kievit
d'Kievit;Kievit
de Cleijne Genueez;Kleine Genuees
de Cleyne Geneeser;Kleine Genuees
de Cleijne Herder;Kleine Herder
den Cleynen Harder;Kleine Herder
den Cleijne Jupiter;Kleine Jupiter
de Koe;Koe
de Cogge;Kogge
de Conigh David;Koning David
de Coninck Davidt;Koning David
de Coning David;Koning David
de Coning Davidt;Koning David
de Coningh David;Koning David
de Coningh Davidt;Koning David
de Coningh Davit;Koning David
de Cooningh Davidt;Koning David
de Koning Davit;Koning David
de Kooninck Davidt;Koning David
den Coning David;Koning David
den Coning Davidt;Koning David
den Coningh David;Koning David
de Coninck Salomon;Koning Salomo
de Coning Salomon;Koning Salomo
de Coningh Salomon;Koning Salomo
de Koninck Salomon;Koning Salomo
den Conick Salomon;Koning Salomo
den Coning Salemon;Koning Salomo
den Coning Salomon;Koning Salomo
den Coningh Salomon;Koning Salomo
de Coninck van Poolen;Koning van Polen
de Coning van Sweeden;Koning van Zweden
den Coning van Sweeden;Koning van Zweden
de Coninginne van Sweden;Koningin van Zweden
de Cocodril;Krokodil
de Croon;Kroon
t Kruijs van Genua;Kruis van Genua
tÂ´Kruijs van Genua;Kruis van Genua
t Lam;Lam
t'Lam;Lam
t Landt van Beloften;Land van Beloften
t' Lant Beloften;Land van Beloften
t Lant van Beloften;Land van Beloften
de Lantman;Landman
de Lastdrag;Lastdrager
de Lastdrager;Lastdrager
de Leeuwaerden;Leeuwarden
Leeuwaerden;Leeuwarden
Leeuwarden;Leeuwarden
Lieuwaerden;Leeuwarden
Lieuwarden;Leeuwarden
de Leeuwerick;Leeuwerik
de Leeuin;Leeuwin
de Leeuwiin;Leeuwin
de Leeuwin;Leeuwin
de Leeuwinne;Leeuwin
Leijden;Leiden
Leyden;Leiden
Leijderdorp;Leiderdorp
Leijerdorp;Leiderdorp
Leyerdorp;Leiderdorp
de Lelie;Lelie
de Liefde;Liefde
de Lieffde;Liefde
Lieffde;Liefde
Limmen;Limmen
Lis;Lis
Loosduijnen;Loosduinen
Louis;Louis
Lowies;Lowies
de Luijpaert;Luipaard
de M. v. Dordrecht;Maagd van Dort
de Macht van Dort;Maagd van Dort
de Maecht van Dordrecht;Maagd van Dort
de Maecht van Dort;Maagd van Dort
de Maecht van Dortt;Maagd van Dort
de Maecht van Enckhuijsen;Maagd van Enkhuizen
de Maeght van Enchuijsen;Maagd van Enkhuizen
de Maeght van Enchuysen;Maagd van Enkhuizen
Marsseveen;Maarsseveen
Maersseveen;Maarsseveen
Mastricht;Maastricht
Mastright;Maastricht
de Macareel;Makreel
Malacca;Malakka
Mallaca;Malakka
Mallacca;Malakka
Maria;Maria
Mauritius;Mauritius
Mouritius;Mauritius
Mouritus;Mauritius
Mauritus;Maurits
Medea;Medea
Memelick;Medemblik
Medenblick;Medemblik
d Meremin;Meermin
