final_creditor_name;normalized
Annetge Barentsdr.;Annetgen Barentsdr.
Annetge Boeijens;Annetgen Boeijensdr.
Annetge Boeijensdr;Annetgen Boeijensdr.
Annetge Boeijes;Annetgen Boeijensdr.
Annetge Boeijesdr;Annetgen Boeijensdr.
Annetge Boeijesdr.;Annetgen Boeijensdr.
Annetge Jansdr;Annetgen Jansdr.
Annetge Pieterdr;Annetge Pietersdr.
Annetge Pietersdr.;Annetge Pietersdr.
Annetge Reijnderts;Annetgen Reijnderts
Annetge Watgen;
Annetgen Andries;Annetgen Andriesdr.
Annetgen Andriesdr.;Annetgen Andriesdr.
Annetgen Barends;Annetgen Barentsdr.
Annetgen Barendts;Annetgen Barentsdr.
Annetgen Barents;Annetgen Barentsdr.
Annetgen Barentsdr;Annetgen Barentsdr.
Annetgen Barentsdr.;Annetgen Barentsdr.
Annetgen Barentsz;Annetgen Barentsdr.
Annetgen Boeijens;Annetgen Boeijensdr.
Annetgen Boeijensdr;Annetgen Boeijensdr.
Annetgen Boeijensdr.;Annetgen Boeijensdr.
Annetgen Boeijes;Annetgen Boeijensdr.
Annetgen Boeijesdr;Annetgen Boeijensdr.
Annetgen Boeijesdr.;Annetgen Boeijensdr.
Annetgen Boejens;Annetgen Boeijensdr.
Annetgen Boeyens;Annetgen Boeijensdr.
Annetgen Boeyes;Annetgen Boeijensdr.
Annetgen Boijens;Annetgen Boeijensdr.
Annetgen Coertsdr.;
Annetgen Corn.;
Annetgen Dircx;Aeltgen Dircx
Annetgen Gerritsdr.;Jannetgen Gerritsdr.
Annetgen Geurten;
Annetgen Harmensz;
Annetgen Hendrics;Annetgen Hendricx
Annetgen Henricx;Annetgen Hendricx
Annetgen Jans;Annetgen Jansdr.
Annetgen Jansdr;Annetgen Jansdr.
Annetgen Jansdr.;Annetgen Jansdr.
Annetgen Jansz;Annetgen Jansdr.
Annetgen Jochemsdr.;Annetgen Jochumsdr.
Annetgen Jochums;Annetgen Jochumsdr.
Annetgen Jochumsdr;Annetgen Jochumsdr.
Annetgen Jochumsdr.;Annetgen Jochumsdr.
Annetgen Jurgensdr.;Annetgen Jochumsdr.
Annetgen Kemp;
Annetgen Laurens;Annetgen Laurens
Annetgen Lourens;Annetgen Laurens
Annetgen Reijnders;Annetgen Reijnderts
Annetgen Reijndert;Annetgen Reijnderts
Annetgen Reijnderts;Annetgen Reijnderts
Annetgen Reijndertsdr;Annetgen Reijnderts
Annetgen Reijndertsdr.;Annetgen Reijnderts
Annetgen Reijndertss;Annetgen Reijnderts
Annetgen Reynders;Annetgen Reijnderts
Annetgen Reynderts;Annetgen Reijnderts
Annetgen Rijnderts;Annetgen Reijnderts
Annetgen Roeloffs;
Annetgen Sijbrants;
Annetgen Sijmons;
Annetgen Stevens;Annetgen Stevensdr.
Annetgen Stevensdr.;Annetgen Stevensdr.
Annetgen Thijmons;Annetgen Thijmonsdr.
Annetgen Thijmonsdr.;Annetgen Thijmonsdr.
Annetgen Wouters;
Annetgie Barentsdr.;Annetgen Barentsdr.
Annetie Jans;
Annetie Pieters;Annetge Pietersdr.
Annetien Boeijes;Annetgen Boeijensdr.
Annetien Boeyes;Annetgen Boeijensdr.
Annetien Jacobs;
Annetien Jans;Annetgen Jansdr.
Annetien Jeremias;
Annetien Rudolphs;
Annetje Andries;Annetgen Andriesdr.
Annetje Boeijes;Annetgen Boeijensdr.
Annetje Boejens;Annetgen Boeijensdr.
Annetje Gerrits;
Annetjen Boeijes;Annetgen Boeijensdr.
Annetjen Boejens;Annetgen Boeijensdr.
Annetjen Goverts;
Annetjen Jans;Annetgen Jansdr.
Annetjen Jurriaens;
Annitgen Barents;Annetgen Barentsdr.
Annitgen Gillis;
Annitie Boeijensdr;Annetgen Boeijensdr.
Annitie Boeijesdr;Annetgen Boeijensdr.
Annittie Boeijes;Annetgen Boeijensdr.
Annittie Boeijesdr;Annetgen Boeijensdr.
Annittie Willems;
Annttie Boeijesdr;Annetgen Boeijensdr.
Anthonie de le Fosse;
Anthonie Denijs;
Anthonij Billij;
Anthonij de le Fosse;
Anthonij Denijs;
Anthonij Janss;
Anthonij Koppers;
Anthonij Vijandt;
Anthony van Hoes;
Anthony van Sevender;
Arendt Franss;Arent Fransz van Minnen
Arendt Franss van Minne;Arent Fransz van Minnen
Arendt Fransz;Arent Fransz van Minnen
Arent Fanssz van Minnen;Arent Fransz van Minnen
Arent Frans;Arent Fransz van Minnen
Arent Frans van Minnen;Arent Fransz van Minnen
Arent Fransch van Minnen;Arent Fransz van Minnen
Arent Fransen;Arent Fransz van Minnen
Arent Fransen van Minnen;Arent Fransz van Minnen
Arent Franss;Arent Fransz van Minnen
Arent Franss van Minne;Arent Fransz van Minnen
Arent Franss van Minnen;Arent Fransz van Minnen
Arent Franssen;Arent Fransz van Minnen
Arent Franssen van Minnen;Arent Fransz van Minnen
Arent Franssz;Arent Fransz van Minnen
Arent Franssz van Minen;Arent Fransz van Minnen
Arent Franssz van Minnen;Arent Fransz van Minnen
Arent Fransz;Arent Fransz van Minnen
Arent Fransz van Minen;Arent Fransz van Minnen
Arent Fransz van Minne;Arent Fransz van Minnen
Arent Fransz van Minnen;Arent Fransz van Minnen
Arent Franszs van Minnen;Arent Fransz van Minnen
Arent Franzsz van Minnen;Arent Fransz van Minnen
Arent Henricxsz;Barent Henricxsz
Arent Janssz Bos;
Arent Jansz;Barent Jansz
Arent Jansz Pieck;
Ariaen Wygers;Ariaen Wygertsz
Ariaen Wygertsz;Ariaen Wygertsz
Aris Eertsen;
Arnoult Coerman;
Aucke Hessels;
Baerent Leefrinck;Barent Leefrinck
Balthus Dircxsz;
Balthus Hartele;Balthus Hartele
Baltus Dircxs;
Baltus Jaspersz;
Baltus van den Bos;
Barbara Thomas;
Barbara Visschers;
Barendt Hendricss;Barent Henricxsz
Barendt Henricss Veldthuis;Barendt Henricss Veldthuis
Barendt Leeffringh;Barent Leefrinck
Barendt Leefrinc;Barendt Leefrinck
Barendt Leefrinck;Barendt Leefrinck
Barendt Lefrinc;Barendt Leefrinck
Barendt Lefrinck;Barendt Leefrinck
Barendt Pieterss;
