final_creditor_name;normalized
Ellert Ellertsz;Eldert Eldertsz
Ellert Hoes;
Ellert Jansz;
Ellert Swart;
Ellin Todi;
Ellitien Hilbrants;
Elsge Franss;Elsgen Franssen
Elsge Gerrits;Elsgen Gerritsdr.
Elsge Jans;Elsgen Jansdr.
Elsgen Frans;Elsgen Franssen
Elsgen Franss;Elsgen Franssen
Elsgen Franssen;Elsgen Franssen
Elsgen Fransz;Elsgen Franssen
Elsgen Gerrits;Elsgen Gerritsdr.
Elsgen Gerritsdr.;Elsgen Gerritsdr.
Elsgen Jans;Elsgen Jansdr.
Elsgen Jansdr.;Elsgen Jansdr.
Elsgen Martens;
Elsgen Pieters;
Elsien Franschen;Elsgen Franssen
Elsien Jansdr;Elsgen Jansdr.
Elsien Jansdr.;Elsgen Jansdr.
Elsjen Franschen;Elsgen Franssen
Elsjen Jans;Elsgen Jansdr.
Engeltgen Claesdr.;
Erasmus Corneliss;
Erasmus Jansz;Erasmus Jansz
Erasmus Roeloffss;
Erick Ottinck;
Ernst Janss;Ernst Jansz
Ernst Jansz;Ernst Jansz
Esias Dircxsz van der Kamp;
Estiene Jacquier;
Estienne Jacquier;
Eva Ockens;
Evert Bruijns;Evert Bruijnsz
Evert Bruijnssz;Evert Bruijnsz
Evert Bruijnsz;Evert Bruijnsz
Evert Gerretsz;
Evert Jonge;Evert Jonge
Evert Jonger;Evert Jonge
Evert Jonges;Evert Jonger
Evert Sommerland;
Femmetgen Hommes;
Femmetgen Jans;
Femmetgen Vogets;
Fijtgen Claesdr.;
Fijtgen Gerrits;
Fijtgen Jans;
Fijtgen Pieters;
Flips Dassonviel;
Floris Jacobssz;
Focke Heijes;
Folckge Barents;Folckge Barentsdr.
Folckge Barentsdr;Volckgen Barents
Folckge Barentsdr.;Folckge Barentsdr.
Franchijntgen Willems;Francijntgen Willemsdr.
Franchijntgen Willemsdr;Francijntgen Willemsdr.
Franchijntgen Willemsdr.;Francijntgen Willemsdr.
Franchois Crockzel;
Franchyntgen Willemsdr.;Francijntgen Willemsdr.
Francijntgen Willems;Francijntgen Willemsdr.
Francijntgen Willemsdr;Francijntgen Willemsdr.
Francijntgen Willemsdr.;Francijntgen Willemsdr.
Francijntien Willems;Francijntgen Willemsdr.
Francijntjen Willems;Francijntgen Willemsdr.
Francis Patijn;Francoijs Patijn
Francoijs Patijn;Francoijs Patijn
Francyntgen Willems;Francijntgen Willemsdr.
Frans Andriesz;
Frans Bloem;
Frans Dircxsz;
Frans Pauls;
Frans Stockvliet;
Frans Volckertssz;
Fransgen Lamberts;
Frederick Dircksz;
Frederick Fredericxsz;
Frederick Jansen;Frederick Jansz
Frederick Jansz;Frederick Jansz
Frederijck Fredericxss/Egbert Fredericxss Roest;
Fredrick Fredricxs;
Fredrick Fredricxsz;
Fredrick Gerritsz;
Frerick Frericxsz;
Fycken Pieters;
Gabriel Carpentier;
Gabriel Faxen;
Geertge Willemsdr;Geertgen Willemsdr.
Geertge Willemsdr.;Geertgen Willemsdr.
Geertgen Caspers;
Geertgen Hendricx dr;Geertgen Hendricxdr.
Geertgen Hendricxdr.;Geertgen Hendricxdr.
Geertgen Henricxdr.;Geertgen Hendricxdr.
Geertgen Willems;Geertgen Willemsdr.
Geertgen WIllems;Geertgen Willemsdr.
Geertgen Willemsdr;Geertgen Willemsdr.
Geertgen Willemsdr.;Geertgen Willemsdr.
Geertie Sijbrants;Geertie Sybrants
Geertie Sybrants;Geertie Sybrants
Geertie Willems;Geertgen Willemsdr.
Geertruijt Christiaensdr.;
Geertruijt Jans;
Geertruijt Pieters;
Geesge Meijnertsdr.;
Geesge Willems;Geesgen Willems
Geesgen Hendrix;Geesgen Henricx
Geesgen Henricx;Geesgen Henricx
Geesgen Ides;
Geesgen Willems;Geesgen Willems
Geesien Willems;Geesgen Willems
Gerberich Jacobs;
Gerbrand Claesz;
Gerbrand Rienx de Coningh;Gerbrandt Riencx de Coningh
Gerbrandt Riencx de Coningh;Gerbrandt Riencx de Coningh
Gerbrant Riencx;
Gerbrant Rienx de Coningh;Gerbrand Rienx de Coningh
Gerret Bartholomeuss;
Gerret Frericxss;
Gerret Henricxss;
Gerret Jansz Roobol;
Gerrit Adriaenss;
Gerrit Adriaensz;Gerrit Andriesz
Gerrit Adriaensz van t Hoff;Gerrit Adriaensz van 't Hoff
Gerrit Adriaensz vant Hoff;Gerrit Adriaensz van 't Hoff
Gerrit Andries;Gerrit Andriesz
Gerrit Andriess;Gerrit Andriesz
Gerrit Andriessz;Gerrit Andriesz
Gerrit Andriesz;Gerrit Andriesz
Gerrit Barents;Gerrit Barentsz
Gerrit Barentss;Gerrit Barentsz
Gerrit Bartholomeusz;
Gerrit Bicker;Gerrit Bicker
Gerrit Bickker;Gerrit Bicker
Gerrit Carstens;Gerrit Carstensz
Gerrit Carstensz;Gerrit Carstensz
Gerrit Claesen;Gerrit Claesz
Gerrit Claessz;Gerrit Claesz
Gerrit Claesz;Gerrit Claesz
Gerrit Cornelisz;
Gerrit de Goeije;
Gerrit Dircxs;Gerrit Dircxsz
Gerrit Dircxss;Gerrit Dircxsz
Gerrit Dircxsz;Gerrit Dircxsz
Gerrit Evertsz;
Gerrit Evertsz/Coert Ratis;
Gerrit Gerrits;Gerrit Gerritsz
Gerrit Gerritss;Gerrit Gerritsz
Gerrit Gerritssz;Gerrit Gerritsz
Gerrit Gerritsz;Gerrit Gerritsz
Gerrit Gerritsz Roelevinck;
Gerrit Gerritsz Stam;
Gerrit Gerrtisz;Gerrit Gerritsz
Gerrit Hanssz;
Gerrit Harmensz;Gerrit Barentsz
Gerrit Hendricxsz;
Gerrit Hendricxsz Wosterholt;
Gerrit Henricxsz;
Gerrit Henricxsz Coster;
Gerrit Hoijer;
Gerrit Horst;
Gerrit Leendertsz;
Gerrit Philipssz;
Gerrit Pieters;Gerrit Pietersz
Gerrit Pieterss;Gerrit Pietersz
Gerrit Pieterssz;Gerrit Pietersz
Gerrit Pietersz;Gerrit Pietersz
Gerrit Prs.;Gerrit Pietersz
Gerrit Reijnderts;
Gerrit Roeloffsz;
Gerritgen Jan Locken;
Gerritt Harmens;
Giertge Jansdr.;Grietgen Jansdr.
Giertge Meijndertsz;
Giertgen Adams;Grietgen Adamsdr.
Giertgen Harckesdr.;
Giertgen Henricxsdr;Grietgen Henricxdr.
Giertgen Lourens;
Giertgen Sijmons;
Giertie Claes;
Giertie Sybrants;Geertie Sybrants
Gijsbert Jansz;
Gilles Boeije de Graes;
Gilles Jansz van Spelevelt;
Gillis Coenraetsz;
Gillis Janssz Spelevelt;
Gillis van Schendel;
Gillis Verbruggen & Comp.;
Glaude Coche;
Goosen Wolbinck;
Goossen van Rellenga;
Griet Jans;Griet Jansdr.
Griet Jansdr.;Griet Jansdr.
Griete Claes;Grietgen Claesdr.
Griete Jeuriaensdr.;
Grietge Henricx;Grietgen Henricxdr.
Grietge Henricxdr.;Grietgen Henricxdr.
Grietge Teunis;Grietgen Theunis
Grietgen Adams;Grietgen Adamsdr.
Grietgen Adamsdr.;Grietgen Adamsdr.
Grietgen Andries;
Grietgen Carstens;
Grietgen Claes;Grietgen Claesdr.
Grietgen Claesdr.;Grietgen Claesdr.
Grietgen Dircks;Grietgen Dircxdr.
Grietgen Dircx;Grietgen Dircxdr.
Grietgen Dircxdr;Grietgen Dircxdr.
Grietgen Dircxdr.;Grietgen Dircxdr.
Grietgen Engelsdr.;
Grietgen Heijndricxdr.;Grietgen Henricxdr.
Grietgen Hendricksdr;Grietgen Henricxdr.
Grietgen Hendricksdr.;Grietgen Henricxdr.
Grietgen Hendricx;Grietgen Henricxdr.
Grietgen Henricks;Grietgen Henricxdr.
Grietgen Henrickss;Grietgen Henricxdr.
Grietgen Henricx;Grietgen Henricxdr.
Grietgen Henricxdr;Grietgen Henricxdr.
Grietgen Henricxdr.;Grietgen Henricxdr.
Grietgen Henricxsdr;Grietgen Henricxdr.
Grietgen Henricxsz;Grietgen Henricxdr.
Grietgen Idens;Grietgen Idens
Grietgen Jacobs;Grietgen Jacobsdr.
Grietgen Jacobsdr.;Grietgen Jacobsdr.
Grietgen Jans;Grietgen Jansdr.
Grietgen Jansdr.;Grietgen Jansdr.
Grietgen Jillis;
Grietgen Otthen;Grietgen Otthen
Grietgen Pietersdr.;Marritgen Pietersdr.
Grietgen Schreurs;
Grietgen Sijmons;
Grietgen Teunis;Grietgen Theunis
Grietgen Theunis;Grietgen Theunis
Grietgen Theunis Rentingh;
Grietgen Volckerts;Grietgen Volckertsdr.
Grietgen Volckertsdr.;Grietgen Volckertsdr.
Grietgen Ydes;Grietgen Idens
Grietie Frans;
Grietie Jansdr;Grietgen Jansdr.
Grietie Jansdr.;Grietgen Jansdr.
Grietie Otte;Grietgen Otthen
Grietien Idens;Grietgen Idens
Grietje Pieters;
Griettie Claes;
Griffin Davits;
Guiljam Possemier;
Guilliaem Baere;
Guilliaem de la Piere;
Guilliaem van Host;
Guilliam van der Steen;
Guliam Petit;
Gysbert Adriaensz de Keyser;
Haermen Abrahamsz Costerius;Harmen Abrahamsz Costerius
Haijcke Eskels;
Hans Barthelts;
Hans Boijenss;
Hans Claessen;
Hans Horst;Hans Horst
Hans Laurentsz;
Hans Luder;
Hans Mathijsssz;
Hans Mathijsz Lembeeck;
Hans Pieterssz;Hans Pietersz
Hans Pietersz;Hans Pietersz
Hans Purck;
Hans Roopstorp;
Hans Schrijver;
Hans Sijbrantsz/Reijnier Loo;
Hans Thijssen;
Hans Thobyass;
Hans van Houtten;
Hans van Solt;
Haremn Abrahamsz Costerius;Harmen Abrahamsz Costerius
Harm Abrahamsz Costerius;Harmen Abrahamsz Costerius
Harman Abrahamssen Costeriuis;Harmen Abrahamsz Costerius
Harman Abrahamsz Costerius;Harmen Abrahamsz Costerius
Harman Costerius;Harmen Abrahamsz Costerius
Harmanus Costerius;Harmen Abrahamsz Costerius
Harme Abrahamss Costerius;Harmen Abrahamsz Costerius
Harme Abrahamsz Costerius;Harmen Abrahamsz Costerius
Harme Hendrickss;Harmen Henricxsz
Harme Kelderman;Harmen Kelderman
Harmen Abraham Costerius;Harmen Abrahamsz Costerius
Harmen Abrahams Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamsen Cossterius;Harmen Abrahamsz Costerius
Harmen Abrahamsen Costeriuis;Harmen Abrahamsz Costerius
Harmen Abrahamsen Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamss Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamssen Costeriuis;Harmen Abrahamsz Costerius
Harmen Abrahamssen Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamsssz Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamssz Costerijus;Harmen Abrahamsz Costerius
Harmen Abrahamssz Costerius;Harmen Abrahamsz Costerius
Harmen Abrahamsz;Harmen Abrahamsz Costerius
Harmen Abrahamsz Costerijus;Harmen Abrahamsz Costerius
Harmen Abrahamsz Costerius;Harmen Abrahamsz Costerius
Harmen Abramhams Costerius;Harmen Abrahamsz Costerius
Harmen Abramsen Costerius;Harmen Abrahamsz Costerius
Harmen Abramsz Costerius;Harmen Abrahamsz Costerius
Harmen Abrhams Costerius;Harmen Abrahamsz Costerius
Harmen Abrhamsen Costerius;Harmen Abrahamsz Costerius
Harmen Abrhamsz Costerius;Harmen Abrahamsz Costerius
Harmen Abrtahamsz Costerius;Harmen Abrahamsz Costerius
Harmen Costerius;Harmen Abrahamsz Costerius
Harmen Dircksz Joncker;
Harmen Everts;Harmen Evertsz
Harmen Evertsen;Harmen Evertsz
Harmen Evertss;Harmen Evertsz
Harmen Evertssen;Harmen Evertsz
Harmen Evertssz;Harmen Evertsz
Harmen Evertsz;Harmen Evertsz
Harmen Heindricss;Harmen Henricxsz
Harmen Hendricksz;Harmen Henricxsz
Harmen Hendricx;Harmen Henricxsz
Harmen Hendricxsz;Harmen Henricxsz
Harmen Henricxsz;Harmen Henricxsz
Harmen Ibbess;Harmen IJbbess
Harmen IJbbess;Harmen IJbbess
Harmen Jansz;
Harmen Kelderman;Harmen Kelderman
Harmen Lindeman;
Harmen Mayndertsz;Harmen Meyndertsz
Harmen Meijndersen;Harmen Meyndertsz
Harmen Meijndertssen;Harmen Meijndertsz
Harmen Meijndertssz;Harmen Meyndertsz
Harmen Meijndertsz;Harmen Meijndertsz
Harmen Meyndertssz;Harmen Meyndertsz
Harmen Meyndertsz;Harmen Meyndertsz
Harmen Roeloffsz;
Harmen Sonnebergh;
Harmen van der Galen;
Harmen Vos/Roeloff Vos;
Harmen Wagenaer;
Harmpgen Henricxdr.;
Hartger Janss;
Hector Havic;Hector Havick
Hector Havick;Hector Havick
Heijltgen Jurriaens;
Heijndrickjen Arents;
Heltgen Jeuriaensdr.;
Hend Maghnus;Henric Magnus
Hend Mangnus;Henric Magnus
Hend. Janssz;Hend. Jansz
Hend. Jansz;Hend. Jansz
Hend. Maghnus;Hendrik Magnus
Hend. Magnus;Hendrik Magnus
Hend. Manghnus;Hendrik Magnus
Hend. Robbertsz Santdrager;
Henderick de Raeth;
Henderick Otten;Henrick Otten
Hendr Jansz;Henrick Jansz
Hendr. Janssz;Hend. Jansz
Hendric Janss;Hend. Jansz
Hendrick Aelbertsz;
Hendrick Ameshoff;
Hendrick Broen;
Hendrick Christiaensz;Henrick Christiaensz
Hendrick Claess Swart;
Hendrick Claesz;Henrick Claesz
Hendrick Dats;Henric Dats
Hendrick Davidssz;
Hendrick Dots;
Hendrick Evertsz;
Hendrick Gijsbertsz;Hendrick Gijsbertsz
Hendrick Gysbertsz;Henric Gysbertsz
Hendrick Hendricksz Loen;Henrick Henricksz Loen
Hendrick Jans;Hendrick Jansz
Hendrick Jansen;Hendrick Jansz
Hendrick Janss;Hendrick Jansz
Hendrick Janssen;Henrick Jansz
Hendrick Janssz;Hendrick Jansz
Hendrick Jansz;Hendrick Jansz
Hendrick Kelderknecht;
Hendrick Kroon;
Hendrick Louressz;
Hendrick Maghnus;Hendrik Magnus
Hendrick Magnus;Hendrik Magnus
Hendrick Manghnus;Hendrik Magnus
Hendrick Manghus;Hendrik Magnus
Hendrick Mangnus;Hendrik Magnus
Hendrick Otten;Henrick Otten
Hendrick Pieterssz;
Hendrick Robbertsz Santdrager;
Hendrick Theunisz;
Hendrick Thomasz;Henrick Thomasz
Hendrickge Lamberts;
Hendrickge Taeckis;
Henr. Garlan;Henrick Garlan
Henrcik Magnus;Henric Magnus
Henric Croonen;
Henric Dats;Henric Dats
Henric Gerland;Henrick Garlan
Henric Gijsberts;Henric Gysbertsz
Henric Gijsbertsz;Hendrick Gijsbertsz
Henric Gysberts;Henric Gysbertsz
Henric Gysbertsz;Henric Gysbertsz
Henric Henricsz;
Henric Jans;Henric Jansz
Henric Janss;Henric Jansz
Henric Janssen;Henrick Jansz
Henric Jansz;Henric Jansz
Henric Kramer;
Henric Magnus;Hendrik Magnus
Henric Mangnus;Hendrik Magnus
Henric Robbertss;
Henric Sommer;
Henric van Loo;
Henrich Haijen;
Henrich Harmens;Henrick Harmensz
Henrich Jansz;Henrick Jansz
Henrich Magnus;Henric Magnus
Henrick Brant;
Henrick Carstenssz;Henrick Carstensz
Henrick Carstensz;Henrick Carstensz
Henrick Christiaensen;Henrick Christiaensz
Henrick Christiaenss;Henrick Christiaensz
Henrick Claess;Henrick Claesz
Henrick Claesz;Henrick Claesz
Henrick Dats;Henric Dats
Henrick de Weer;
Henrick Dots;Henric Dats
Henrick Fredricxsz;
Henrick Garlan;Henrick Garlan
Henrick Gerritsz/Jan Jansz;
Henrick Hamel;
Henrick Harmanssz;Henrick Harmensz
Henrick Harmenss;Henrick Harmensz
Henrick Harmensz van Amerbeeck;
Henrick Henricksz Loen;Henrick Henricksz Loen
Henrick Henricxsz;
Henrick Jacobsz/Tryntien Henricxdr.;
Henrick Jans;Henric Jansz
Henrick Jansen;Henric Jansz
Henrick Janss;Henric Jansz
Henrick Janss Bocxemaker;Henrick Jansz
Henrick Janssen;Henrick Jansz
Henrick Jansss;Henric Jansz
Henrick Janssz;Henric Jansz
Henrick Janssz Bocxemaker;Henrick Jansz
Henrick Jansz;Henric Jansz
Henrick Jochumss;Henrick Jochumsz
Henrick Jochumssen;Henrick Jochumsz
Henrick Jochumssz;Henrick Jochumsz
Henrick Jochumsz;Henrick Jochumsz
Henrick Lourensz;
Henrick Louresz;
Henrick Magnus;Hendrik Magnus
Henrick Manghnus;Henric Magnus
Henrick Mangnus;Henric Magnus
Henrick Nicolaesz;
Henrick Otten;Henrick Otten
Henrick Pantel;
Henrick Remmen;
Henrick Robbertssz Sandtdrager;
Henrick Thomas;Henrick Thomasz
Henrick Thomasz;Henrick Thomasz
Henrick Westerman;
Henrickgen Barents;
Henrickgen Claes;Henrick Claesz
Hens Hutten;Jems Hutton
Heric Magnus;Henric Magnus
Herman Abrah Costerius;Harmen Abrahamsz Costerius
Herman Abrahamss Costerius;Herman Abrahamsz Costerius
Herman Abrahamssen Costerius;Harmen Abrahamsz Costerius
Herman Abrahamsz Costerius;Herman Abrahamsz Costerius
Herman Kelderman;Harmen Kelderman
Hermanus Abrahamss Costerius;Herman Abrahamsz Costerius
Hermanus Abrahamsz Costerius;Harmen Abrahamsz Costerius
Herme Kelderman;Harmen Kelderman
Hermen Abrahams Costerius;Harmen Abrahamsz Costerius
Hermen Abrahamsen Costerius;Harmen Abrahamsz Costerius
Hermen Abrahamss Costerius;Herman Abrahamsz Costerius
Hermen Abrahamsz Costerius;Harmen Abrahamsz Costerius
Hermen Abrhamsz Costerius;Harmen Abrahamsz Costerius
Hermen Kelderman;Harmen Kelderman
Herri Hum;Herri Hum
Herrie Hum;Herri Hum
Herrij Hum;Herri Hum
Hester Jans;
Hester Marijns;
Heyltjen Jurriaens;Heyltjen Jurriaensdr
Heyltjen Jurriaensdr;Heyltjen Jurriaensdr
Hilbrant Hilbrantsz;Hilbrant Hilbrantsz
Hilbrant Wijckers;Hilbrant Wijckers
Hilbrant Wijkers;Hilbrant Wijckers
Hilcke Marcus;
Hillegont Frans;Hillegont Franssdr.
Hillegont Franss;Hillegont Franssdr.
Hillegont Franssdr.;Hillegont Franssdr.
Hilletge Barents;
Hilletge Henricx;
Hilletge Wessels;Hilletge Wesselsdr.
Hilletge Wesselsdr.;Hilletge Wesselsdr.
Hilletgen Jansdr.;
Hilletgen Ottes;
Hilletgen Wessels;Hilletge Wesselsdr.
Hilletgen Wesselsdr.;Hilletge Wesselsdr.
Hilletgen Wibes;
Hilletien Otthens;
Hilletjen Davidt;
Hubbert Dircxsz van den Berch;
Hubert Martens;Hubert Martensz
Hubert Martensen;Hubert Martensz
Hubert Martenss;Hubert Martensz
Hubert Martenssen;Hubert Martensz
Hubert Martenssz;Hubert Martensz
Hubert Martensz;Hubert Martensz
Huibert Cambel/Jannetgen Huijberts;
Huijber Cambel;Huijbert Cambel
Huijbert Cambel;Huijbert Cambel
Huijbert Cornelissz;
Huijbert Martens;Hubert Martensz
Huijbert Martenssz;Hubert Martensz
Huijbert Martensz;Hubert Martensz
Huijbert Martsz;Hubert Martensz
Huybert Martens;Hubert Martensz
Huybert Martensz;Hubert Martensz
Ibe Sidtjes;
IJde Hendricxsz;
IJfgen Huijberts;
IJsaac Jans Linde;
IJte Gerritsz;
IJtgen Harmensdr.;
Immetgen Jansdr.;
Isaac Andriesz;Isaac Andriesz
Isaac Corneliss Verbeeck;Isaac Cornelissz Verbeeck
Isaac Cornelissz Verbeeck;Isaac Cornelissz Verbeeck
Isaac Pretto;
Isaack Andriesz;Isaac Andriesz
Isaacq Andriesz;Isaac Andriesz
Itge Opkes;
Itgen Jans;
Jacob Achterlonij;
Jacob Albertsz de Kinder;
Jacob Alingh;
Jacob Barendtss;Jacob Barentsz
Jacob Barendtsz;Jacob Barentsz
Jacob Barens;Jacob Barentsz
Jacob Barenss;Jacob Barentsz
Jacob Barenszen;Jacob Barentsz
Jacob Barents;Jacob Barentsz
Jacob Barentsen;Jacob Barentsz
Jacob Barentss;Jacob Barentsz
Jacob Barentssen;Jacob Barentsz
Jacob Barentssz;Jacob Barentsz
Jacob Barentsz;Jacob Barentsz
Jacob Barri;
Jacob Betths;
Jacob Block/Michiel de Marco;
Jacob Claes;
Jacob Cornelis;Jacob Cornelissz
Jacob Cornelissz;Jacob Cornelissz
Jacob Cornelisz Duijts;
Jacob de Lange;
Jacob Dircxss;
Jacob Dircxsz;
Jacob Dubbelts;
Jacob Durij;
Jacob Forthuijn;
Jacob Fortuijn;
Jacob Frisseel;Jacob Frisseel
Jacob Frissheel;Jacob Frisseel
Jacob Gerritsz Bessels;
Jacob Gillissz;
Jacob Govertsz Beer;
Jacob Henricxs;
Jacob Hesselsz;
Jacob Hots;Jacob Hotsz
Jacob Hotsen;Jacob Hotsz
Jacob Hotsz;Jacob Hotsz
Jacob Janss;Jacob Jansz
Jacob Janssz;Jacob Jansz
Jacob Jansz;Jacob Jansz
Jacob Jansz Vos;
Jacob Jansz/Pietertgen Pieters;
Jacob Joosten;Jacob Joosten
Jacob Kit;
Jacob Lae;Jacob Lae
Jacob Laijon;Jacob Laijon
Jacob Laion;Jacob Laijon
Jacob Minnessz;
Jacob Minnesz;
Jacob Moraij;Jacob Morry
Jacob Morra;Jacob Morry
Jacob Morrai;Jacob Morry
Jacob Morraij;Jacob Morrai
Jacob Morrij;Jacob Morrai
Jacob Morry;Jacob Morry
Jacob Pergens;
Jacob Prsz./Gerrit Prsz.;
Jacob Riddel;
Jacob Sachariass;Jacob Sachariasz
Jacob Sachariasz;Jacob Sachariasz
Jacob Salvis;Jacob Salvis
Jacob Salvis/Elsgen Jans;
Jacob Salvus;Jacob Salvis
Jacob Sybrantssz/Digna Jacobs;
Jacob van der Loff;
Jacob Wilems;Jacob Willemsz
Jacob Willems;Jacob Willemsz
Jacob Willemss;Jacob Willemsz
Jacob Willemss Blindeman;
Jacob Willemsz;Jacob Willemsz
Jacob Willemsz Lootsman;
Jacob Willemsz/Annetgen Jacobs;
Jacobmijn Mellecams;Jacomijn Melckomsdr.
Jacobmijne Backers;
Jacobs Barensz;Jacob Barentsz
Jacomijn Melcam;Jacomijn Melckomsdr.
Jacomijn Melckomsdr.;Jacomijn Melckomsdr.
Jacomijne Melckams;Jacomijn Melckomsdr.
Jacomijne Melckoms;Jacomijn Melckomsdr.
Jacomijntge Dircxdr.;
Jacomijntgen Elebo;
Jacques de la Coste;
Jacques Morrai;Jacob Morrai
Jacques Morras;Jacob Morrai
Jacques van de Gaver;
Jacques van de Gavre;
Jaepie Gerritsdr;
Jams Hutton;James Hutton
Jan Abrahamssz;
Jan Abrahamsz van Loon;
Jan Alberts;Jan Albertsz
Jan Albertss;Jan Albertss
Jan Albertssz;Jan Albertsz
Jan Albertsz;Jan Albertsz
Jan Albertsz van Narthoorn;
Jan Andriessz;Jan Andriesz
Jan Andriesz;Jan Andriesz
Jan Arentss;Jan Arentsz
Jan Arentsz;Jan Arentsz
Jan Atkins;
Jan Balthussz;
Jan Barents;Jan Barentsz
Jan Barentssz;Jan Barentsz
Jan Barentssz van te Velde;
Jan Barentsz;Jan Barentsz
Jan Bartheltssz;
Jan Belgeer;Jan Belgeer
Jan Bootsman;
Jan Brandtsz;Jan Brandtsz
Jan Brantsen;Jan Brandtsz
Jan Brijan;
Jan Buddijn;
Jan Ca[m]bel;Jan Cambel
Jan Camb.;Jan Cambel
Jan Cambel;Jan Cambel
Jan Cambell;Jan Cambel
Jan Carstens;Jan Carstensz
Jan Carstenss;Jan Carstensz
Jan Carstensz;Jan Carstensz
Jan Casperss Schonck;Jan Caspersz Schonck
Jan Caspersz Schonck;Jan Caspersz Schonck
Jan Clisdel;
Jan Coenen;
Jan Corneliss;Jan Cornelisz
Jan Cornelisz;Jan Cornelisz
Jan Cornelisz Smith;
Jan Couper;
Jan Cranenburgh;
Jan Davitsz;
Jan de la Cluijse;
Jan de Ruijter;
Jan Diedtloffsz Tweelingh;
Jan Dirckss;Jan Dircxsz
Jan Dirckszoon;Jan Dircxsz
Jan Dircx;Jan Dircxsz
Jan Dircx Muijen;
Jan Dircxs;Jan Dircxsz
Jan Dircxss;Jan Dircxsz
Jan Dircxsz;Jan Dircxsz
Jan Dirxcsz;Jan Dircxsz
Jan Dirxs;Jan Dircxsz
Jan Dirxsz;Jan Dircxsz
Jan Doncan;Jan Duncan
Jan Doncken;Jan Duncan
Jan Douwersz;Jan Douwess
Jan Douwess;Jan Douwess
Jan Douwessz;Jan Douwess
Jan Douwesz;Jan Douwess
Jan Driesman;
Jan Duncam;Jan Duncan
Jan Duncan;Jan Duncan
Jan Dunckan;Jan Duncan
Jan Duncken;Jan Duncan
Jan Dunken;Jan Duncan
Jan Evertsen;
Jan Evertsz Cloosterman;
Jan Fargison;Jan Fargisson
Jan Fargissen;Jan Farigisston
Jan Fargisson;Jan Farigisston
Jan Farigisston;Jan Farigisston
Jan Foppen;
Jan Forgissen;Jan Fargisson
Jan Forgisson;Jan Farigisston
Jan Fransz;
Jan Gerritsz Rijman;
Jan Gijsbertsz;Jan Gijsbertsz
Jan Goverts;Jan Govertsz
Jan Govertss;Jan Govertsz
Jan Govertsz;Jan Govertsz
Jan Gregorius;
Jan Harmans;Jan Harmansz
Jan Harmanss Balck;Jan Harmenss Balck
Jan Harmanssz;Jan Harmenss Balck
Jan Harmansz;Jan Harmenss Balck
Jan Harmens;Jan Harmansz
Jan Harmens;Jan Harmensz
Jan Harmens Balck;Jan Harmenss Balck
Jan Harmenss;Jan Harmenss Balck
Jan Harmenss Balck;Jan Harmenss Balck
Jan Harmenss Valck;Jan Harmenss Balck
Jan Harmenssz;Jan Harmensz
Jan Harmensz;Jan Harmensz
Jan Harmensz Balck;Jan Harmenss Balck
Jan Harmensz Swaan;
Jan Harmss;
Jan Heelen;Jan Heelen
Jan Heellen;Jan Heelen
Jan Helen;Jan Heelen
Jan Hendericxss Manuel;Jan Hendricxsz Manuel
Jan Hendericxsz Manuel;Jan Hendricxsz Manuel
Jan Hendricksen Manuwel;Jan Hendricxsz Manuel
Jan Hendrickssen Manuwel;Jan Hendricxsz Manuel
Jan Hendricksz;Jan Hendricksz
Jan Hendricksz Manuel;Jan Hendricxsz Manuel
Jan Hendricx Manuel;Jan Hendricxsz Manuel
Jan Hendricxs Manuel;Jan Hendricxsz Manuel
Jan Hendricxss Manuel;Jan Hendricxsz Manuel
Jan Hendricxsz Mannel;Jan Hendricxsz Manuel
Jan Hendricxsz manuel;Jan Hendricxsz Manuel
Jan Hendricxsz Manuel;Jan Hendricxsz Manuel
Jan Henrick Manuel;Jan Hendricxsz Manuel
Jan Henrickss Manuel;Jan Hendricxsz Manuel
Jan Henricksz Manuel;Jan Hendricxsz Manuel
Jan Henricsse Manuel;Jan Hendricxsz Manuel
Jan Henricsz Manuel;Jan Hendricxsz Manuel
Jan Henricxs Manuel;Jan Hendricxsz Manuel
Jan Henricxsen Manuel;Jan Hendricxsz Manuel
Jan Henricxssen Manuel;Jan Hendricxsz Manuel
Jan Henricxssz Manuel;Jan Hendricxsz Manuel
Jan Henricxsz Manuel;Jan Hendricxsz Manuel
Jan Henrix Manuel;Jan Hendricxsz Manuel
Jan Henrixs Manuel;Jan Hendricxsz Manuel
Jan Henrixsz Manuel;Jan Hendricxsz Manuel
Jan Herdinan;
Jan Horst;
Jan Hutton;James Hutton
Jan Ibens;Jan Ivensz
Jan Ibenss;Jan Ivensz
Jan Ibensz;Jan Ivensz
Jan Ibesz;Jan Ivensz
Jan IJsbrantsz;
Jan IJvens;Jan Ivensz
Jan IJvensen;Jan Ivensz
Jan IJvenssz;Jan Ivensz
Jan IJvensz;Jan Ivensz
Jan Ivens;Jan Ivensz
Jan Ivensen;Jan Ivensz
Jan Ivenss;Jan Ivensz
Jan Ivensz;Jan Ivensz
