id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
,"2805,133",KLAG05101000022,"5020,3561",KLAG05101000022
,"908,1880",KLAB04820000138,"7104,5602",KLAB04820000138
,"430,129",KLAD03375000072,"4795,2933",KLAD03375000072
,"3037,124",A26673000073,"4713,3788",A26673000073
https://archief.amsterdam/indexen/deeds/9d6d21e2-813e-666d-e053-b784100a1840,"2391,267",A23652000018,"4283,3283",A23652000018
https://archief.amsterdam/indexen/deeds/9d6d21e3-6a74-666d-e053-b784100a1840,"981,270",A30768000146,"5365,3966",A30768000146
https://archief.amsterdam/indexen/deeds/9d6d21e1-9c92-666d-e053-b784100a1840,"286,219",A23652000068,"2274,2839",A23652000068
,"251,161",A30705000044,"2741,4012",A30705000044
https://archief.amsterdam/indexen/deeds/9d6d21e2-fa2d-666d-e053-b784100a1840,"559,205",A23645000345,"2386,3301",A23645000345
https://archief.amsterdam/indexen/deeds/9d6d21e2-0f5f-666d-e053-b784100a1840,"317,190",A23646000164,"2190,3067",A23646000164
,"205,96",A31203000027,"2406,3866",A31203000027
https://archief.amsterdam/indexen/deeds/9d6d21e1-a099-666d-e053-b784100a1840,"2505,156",A23654000068,"4150,3101",A23654000068
https://archief.amsterdam/indexen/deeds/d0092ad0-a7e1-1a7b-e053-b784100aab8a,"3168,355",NOTG00054000165,"5459,3896",NOTG00054000165
,"725,229",A20014000066,"2514,3564",A20014000066
,"2954,121",A32419000094,"5013,576",A32419000094
,"420,121",KLAD02331000030,"3574,2389",KLAD02331000031
,"2469,156",A23539000020,"4026,3027",A23539000020
https://archief.amsterdam/indexen/deeds/9d6d21e0-452f-666d-e053-b784100a1840,"309,212",A23655000148,"2269,2905",A23655000148
,"2735,141",KLAD03198000041,"2505,3663",KLAD03198000042
,"2821,153",A16128000057,"5104,3620",A16128000057
,"327,69",A33621000043,"2611,3754",A33621000045
,"439,107",KLAD02194000092,"3602,1709",KLAD02194000092
,"2783,155",KLAC01194000015,"4805,3717",KLAC01194000015
https://archief.amsterdam/indexen/deeds/9d6d21e1-2b25-666d-e053-b784100a1840,"2430,184",A23646000181,"4207,3085",A23646000181
,"2762,207",KLAC01212000014,"2416,1270",KLAC01212000015
,"311,136",A32698000004,"2367,3704",A32698000004
https://archief.amsterdam/indexen/deeds/9d6d21e2-0f9c-666d-e053-b784100a1840,"430,200",A20015000029,"2613,3558",A20015000029
https://archief.amsterdam/indexen/deeds/bebf5fd4-e5e3-1e00-e053-b784100af734,"2880,165",KLAG03343000054,"4891,3073",KLAG03343000054
,"300,209",A20014000005,"2538,3801",A20014000005
,"2037,135",KLAD02222000028,"3614,2764",KLAD02222000028
,"515,113",KLAD02349000057,"3485,2050",KLAD02349000060
,"569,857",A26673000120,"2569,3824",A26673000120
https://archief.amsterdam/indexen/deeds/9d6d21e2-8849-666d-e053-b784100a1840,"2686,179",A23645000267,"4457,3349",A23645000267
,"2086,195",KLAD01877000106,"3622,2644",KLAD01877000106
https://archief.amsterdam/indexen/deeds/9d6d21e2-fa7c-666d-e053-b784100a1840,"403,217",A23645000169,"2331,3315",A23645000169
https://archief.amsterdam/indexen/deeds/9d6d21e0-bf27-666d-e053-b784100a1840,"2558,118",A23645000245,"4596,3319",A23645000245
https://archief.amsterdam/indexen/deeds/e557c10e-ac8d-7dcb-e053-b784100a971b,"2993,198",KLAC01164000149,"5202,3693",KLAC01164000149
,"2722,194",A20014000004,"4875,3791",A20014000004
,"2872,157",A24963000035,"2499,1333",A24963000036
,"366,127",KLAD02349000071,"3559,1940",KLAD02349000071
https://archief.amsterdam/indexen/deeds/d0092ad0-a8d3-1a7b-e053-b784100aab8a,"3122,288",NOTG00054000372,"5279,3303",NOTG00054000372
https://archief.amsterdam/indexen/deeds/9d6d21e3-6d30-666d-e053-b784100a1840,"2314,152",A23649000073,"4126,3108",A23649000073
https://archief.amsterdam/indexen/deeds/9d6d21e0-bf2a-666d-e053-b784100a1840,"155,128",A23651000082,"2077,2921",A23651000082
https://archief.amsterdam/indexen/deeds/9d6d21e3-662d-666d-e053-b784100a1840,"575,142",A23658000234,"2237,2562",A23658000234
https://archief.amsterdam/indexen/deeds/9d6d21e3-d637-666d-e053-b784100a1840,"3076,235",KLAB04784000020,"5047,3961",KLAB04784000020
,"2672,142",A32698000049,"4795,3700",A32698000049
,"421,149",A26669000038,"4875,3563",A26669000038
,"2156,172",NOTD00101000003,"1866,2599",NOTD00101000004
https://archief.amsterdam/indexen/deeds/9d6d21e3-c469-666d-e053-b784100a1840,"2334,234",A23655000035,"4242,2912",A23655000035
https://archief.amsterdam/indexen/deeds/9d6d21e1-9c99-666d-e053-b784100a1840,"2367,202",A23659000065,"4182,2682",A23659000065
,"657,1882",KLAC01212000196,"5155,3639",KLAC01212000196
,"661,103",KLAD03194000127,"2626,1942",KLAD03194000128
,"303,104",KLAD01983000016,"2405,3362",KLAD01983000017
,"518,165",A25702000113,"1865,2794",A25702000113
https://archief.amsterdam/indexen/deeds/9d6d21e2-f985-666d-e053-b784100a1840,"2505,107",A23654000080,"4116,3061",A23654000080
,"3090,222",KLAC01212000229,"5120,3314",KLAC01212000229
,"2880,214",KLAD01899000012,"5060,3763",KLAD01899000012
https://archief.amsterdam/indexen/deeds/9d6d21e0-b8e4-666d-e053-b784100a1840,"298,112",A23653000045,"2184,2883",A23653000045
https://archief.amsterdam/indexen/deeds/9d6d21e3-662e-666d-e053-b784100a1840,"130,180",A23650000237,"2251,3206",A23650000237
https://archief.amsterdam/indexen/deeds/9d6d21e3-6d6d-666d-e053-b784100a1840,"2657,158",A23645000260,"4467,3366",A23645000260
,"2810,150",KLAD03198000123,"2685,3754",KLAD03198000124
https://archief.amsterdam/indexen/deeds/9d6d21e0-b8e5-666d-e053-b784100a1840,"298,113",A23661000011,"2041,2789",A23661000011
https://archief.amsterdam/indexen/deeds/d0092ad0-a97b-1a7b-e053-b784100aab8a,"3143,2203",NOTG00054000155,"5396,4035",NOTG00054000155
,"2058,86",KLAD01545000035,"3614,2727",KLAD01545000035
https://archief.amsterdam/indexen/deeds/9d6d21df-dad7-666d-e053-b784100a1840,"125,166",A23651000109,"2071,2936",A23651000109
https://archief.amsterdam/indexen/deeds/9d6d21e3-662f-666d-e053-b784100a1840,"2309,163",A23652000029,"4226,3120",A23652000029
,"2493,138",A32396000086,"4373,3366",A32396000086
https://archief.amsterdam/indexen/deeds/d0092ad0-a9af-1a7b-e053-b784100aab8a,"881,324",NOTG00054000350,"3075,3504",NOTG00054000350
,"2940,134",KLAD03352000056,"4966,3315",KLAD03352000056
https://archief.amsterdam/indexen/deeds/9d6d21e0-4be5-666d-e053-b784100a1840,"3195,2385",A30768000150,"2495,3842",A30768000151
,"704,2290",A24963000145,"4988,3781",A24963000145
https://archief.amsterdam/indexen/deeds/9d6d21e3-c46c-666d-e053-b784100a1840,"2180,119",A23661000024,"4020,2199",A23661000024
,"2487,97",A32396000091,"4317,3257",A32396000091
https://archief.amsterdam/indexen/deeds/9d6d21e1-9cd7-666d-e053-b784100a1840,"2351,157",A23646000028,"3995,3079",A23646000028
,"2773,199",A26736000015,"4701,2152",A26736000015
,"2171,128",KLAD01545000085,"3640,1438",KLAD01545000086
,"1932,78",KLAD01532000051,"1809,1051",KLAD01532000052
https://archief.amsterdam/indexen/deeds/9d6d21e0-4be8-666d-e053-b784100a1840,"1930,52",A20362000009,"3351,2595",A20362000009
https://archief.amsterdam/indexen/deeds/9d6d21df-d413-666d-e053-b784100a1840,"2365,219",A23660000015,"4238,2490",A23660000015
https://archief.amsterdam/indexen/deeds/9d6d21e1-9cd8-666d-e053-b784100a1840,"366,92",A23661000028,"2075,2663",A23661000028
,"2813,143",KLAD01928000125,"4897,3247",KLAD01928000125
,"597,113",KLAD03195000046,"2248,1409",KLAD03195000047
,"2887,170",KLAD01887000254,"2659,2442",KLAD01887000255
,"1914,176",A16039000059,"3344,2533",A16039000059
https://archief.amsterdam/indexen/deeds/9d6d21e1-a3ab-666d-e053-b784100a1840,"2348,130",A23649000032,"4088,3099",A23649000032
,"445,175",A32698000040,"4624,3652",A32698000040
,"985,366",KLAB04820000206,"3701,5534",KLAB04820000206
,"2149,112",KLAD01958000117,"3581,2168",KLAD01958000117
https://archief.amsterdam/indexen/deeds/9d6d21df-b05c-666d-e053-b784100a1840,"3031,150",KLAB04784000026,"5264,3969",KLAB04784000026
,"2875,209",KLAD01893000099,"2593,935",KLAD01893000100
,"1991,174",KLAD02241000012,"1700,1921",KLAD02241000013
https://archief.amsterdam/indexen/deeds/9d6d21df-dad8-666d-e053-b784100a1840,"163,131",A23649000056,"2118,3119",A23649000056
,"701,162",KLAD01885000231,"4818,3614",KLAD01885000231
https://archief.amsterdam/indexen/deeds/9d6d21e3-6632-666d-e053-b784100a1840,"2355,232",A23653000209,"4122,2994",A23653000209
https://archief.amsterdam/indexen/deeds/bebf5fd4-78f9-1e00-e053-b784100af734,"379,124",KLAG03343000101,"2392,2650",KLAG03343000101
https://archief.amsterdam/indexen/deeds/9d6d21e1-9cd9-666d-e053-b784100a1840,"2410,176",A23646000060,"4110,3048",A23646000060
,"2137,1322",KLAD01958000102,"1872,1545",KLAD01958000103
https://archief.amsterdam/indexen/deeds/9d6d21e3-c46f-666d-e053-b784100a1840,"2247,149",A23661000010,"3966,2755",A23661000010
https://archief.amsterdam/indexen/deeds/d0092ad0-aa0e-1a7b-e053-b784100aab8a,"3075,362",NOTG00054000114,"5231,2309",NOTG00054000114
https://archief.amsterdam/indexen/deeds/9d6d21e2-8205-666d-e053-b784100a1840,"2283,177",A23653000157,"4108,2733",A23653000157
,"2764,143",KLAD01893000044,"4883,3527",KLAD01893000044
,"2721,114",KLAB05564000017,"2417,2134",KLAB05564000018
,"2770,134",A26673000006,"4905,3802",A26673000006
,"4317,1798",KLAB04820000095,"7192,5550",KLAB04820000095
,"490,128",KLAD01900000034,"2351,3838",KLAD01900000034
https://archief.amsterdam/indexen/deeds/9d6d21df-d459-666d-e053-b784100a1840,"2368,240",A23652000048,"4168,2977",A23652000048
https://archief.amsterdam/indexen/deeds/d0092ad0-aa51-1a7b-e053-b784100aab8a,"3340,280",NOTG00054000314,"5478,3404",NOTG00054000314
https://archief.amsterdam/indexen/deeds/9d6d21e2-8207-666d-e053-b784100a1840,"366,197",A23656000221,"2118,2661",A23656000221
https://archief.amsterdam/indexen/deeds/bebf5fd4-e624-1e00-e053-b784100af734,"429,2918",KLAG03343000084,"2556,3834",KLAG03343000084
https://archief.amsterdam/indexen/deeds/9d6d21e1-2bb0-666d-e053-b784100a1840,"2480,119",A23647000030,"4222,3252",A23647000030
,"411,143",NOTD00101000017,"3775,2729",NOTD00101000017
https://archief.amsterdam/indexen/deeds/9d6d21e3-c471-666d-e053-b784100a1840,"2182,110",A23656000045,"3884,2200",A23656000045
,"1889,84",KLAD01539000004,"1798,2777",KLAD01539000005
,"2830,1397",KLAD01887000276,"2699,1683",KLAD01887000277
,"216,140",KLAD01555000069,"1849,2805",KLAD01555000069
https://archief.amsterdam/indexen/deeds/9d6d21e0-bef5-666d-e053-b784100a1840,"460,161",A30708000079,"4876,2433",A30708000079
,"160,59",KLAD01532000071,"1903,2770",KLAD01532000071
https://archief.amsterdam/indexen/deeds/d0092ad0-aa63-1a7b-e053-b784100aab8a,"3177,309",NOTG00054000362,"5593,3627",NOTG00054000362
https://archief.amsterdam/indexen/deeds/9d6d21e2-f489-666d-e053-b784100a1840,"2254,94",A23658000037,"4011,3031",A23658000037
https://archief.amsterdam/indexen/deeds/d0092ad0-aa9d-1a7b-e053-b784100aab8a,"241,1907",A23644000148,"2411,3722",A23644000148
,"264,184",KLAD01971000049,"3577,1235",KLAD01971000049
https://archief.amsterdam/indexen/deeds/9d6d21e0-b931-666d-e053-b784100a1840,"2173,95",A23656000064,"3912,2368",A23656000064
https://archief.amsterdam/indexen/deeds/9d6d21e0-45f2-666d-e053-b784100a1840,"2446,271",A23659000064,"4231,3193",A23659000064
,"2812,174",A32419000113,"4825,3457",A32419000113
,"797,233",KLAD01899000094,"5003,2884",KLAD01899000094
https://archief.amsterdam/indexen/deeds/9d6d21e2-f48a-666d-e053-b784100a1840,"348,202",A23653000155,"2043,2742",A23653000155
,"2923,194",A33853000102,"4944,3773",A33853000102
https://archief.amsterdam/indexen/deeds/9d6d21e2-820b-666d-e053-b784100a1840,"449,193",A23657000105,"2216,2721",A23657000105
,"2749,97",KLAB05520000100,"2428,1282",KLAB05520000101
,"323,129",KLAD03522000029,"1815,2741",KLAD03522000029
,"484,162",KLAD01885000152,"2491,3577",KLAD01885000152
https://archief.amsterdam/indexen/deeds/9d6d21e1-9d25-666d-e053-b784100a1840,"469,160",A23647000197,"2318,3276",A23647000197
,"2017,177",KLAD02179000010,"3617,2613",KLAD02179000010
,"2784,247",A33642000091,"2570,3432",A33642000092
,"484,123",NOTD00103000005,"3971,1222",NOTD00103000006
https://archief.amsterdam/indexen/deeds/9d6d21e2-16e6-666d-e053-b784100a1840,"144,120",A23651000092,"1984,2920",A23651000092
,"2913,176",KLAB03099000023,"2471,3815",KLAB03099000024
https://archief.amsterdam/indexen/deeds/9d6d21e0-b932-666d-e053-b784100a1840,"354,182",A23658000042,"2092,2981",A23658000042
https://archief.amsterdam/indexen/deeds/9d6d21e1-a430-666d-e053-b784100a1840,"2646,113",A23645000195,"4504,3377",A23645000195
,"461,2040",A33628000114,"5168,4014",A33628000114
,"257,82",NOTC01002000012,"5139,3131",NOTC01002000012
https://archief.amsterdam/indexen/deeds/9d6d21e3-c475-666d-e053-b784100a1840,"305,161",A23648000127,"2240,3316",A23648000127
,"2100,145",KLAD02331000035,"3520,1540",KLAD02331000036
https://archief.amsterdam/indexen/deeds/9d6d21e1-9d70-666d-e053-b784100a1840,"2421,163",A23652000013,"4280,2953",A23652000013
https://archief.amsterdam/indexen/deeds/9d6d21e1-9d71-666d-e053-b784100a1840,"383,209",A23655000186,"2255,3175",A23655000186
https://archief.amsterdam/indexen/deeds/9d6d21df-d49d-666d-e053-b784100a1840,"319,245",A23646000193,"2158,3087",A23646000193
,"2709,151",KLAD01960000016,"4876,3273",KLAD01960000016
,"348,124",KLAD03391000017,"4724,2799",KLAD03391000017
https://archief.amsterdam/indexen/deeds/e557c10f-6bae-7dcb-e053-b784100a971b,"3014,2259",KLAB04781000112,"5172,3833",KLAB04781000112
https://archief.amsterdam/indexen/deeds/9d6d21e3-6e30-666d-e053-b784100a1840,"616,205",A23645000351,"2439,3302",A23645000351
https://archief.amsterdam/indexen/deeds/a3cb51cb-f516-50ee-e053-b784100a6caf,"2919,163",KLAB05562000060,"4949,3755",KLAB05562000060
https://archief.amsterdam/indexen/deeds/d0092ad0-ab48-1a7b-e053-b784100aab8a,"254,144",A23644000092,"2355,3894",A23644000092
,"542,161",NOTD00102000017,"3907,2592",NOTD00102000018
,"497,135",KLAB03099000052,"2595,3760",KLAB03099000052
,"2245,134",KLAD02179000103,"3667,2686",KLAD02179000103
,"4237,226",KLAB04820000031,"7085,5523",KLAB04820000031
https://archief.amsterdam/indexen/deeds/9d6d21df-dab0-666d-e053-b784100a1840,"618,144",A30761000039,"2408,3198",A30761000040
,"2494,185",A23539000118,"2089,2637",A23539000119
,"442,115",KLAD02179000099,"1964,2770",KLAD02179000099
,"2778,92",KLAG03197000014,"2370,2018",KLAG03197000015
https://archief.amsterdam/indexen/deeds/9d6d21e1-31ca-666d-e053-b784100a1840,"3070,229",A30768000017,"5145,3911",A30768000017
,"522,148",KLAD03363000052,"2452,3720",KLAD03363000052
https://archief.amsterdam/indexen/deeds/9d6d21e2-16fb-666d-e053-b784100a1840,"108,114",A20362000051,"1684,2628",A20362000051
https://archief.amsterdam/indexen/deeds/e557c10f-2bf3-7dcb-e053-b784100a971b,"612,166",KLAB04781000123,"2664,3869",KLAB04781000123
,"2036,1241",KLAD02233000034,"1723,1336",KLAD02233000035
https://archief.amsterdam/indexen/deeds/d0092ad0-aba0-1a7b-e053-b784100aab8a,"830,2150",NOTG00054000085,"2864,4055",NOTG00054000085
https://archief.amsterdam/indexen/deeds/9d6d21df-d49e-666d-e053-b784100a1840,"2316,94",A23650000066,"4253,3187",A23650000066
https://archief.amsterdam/indexen/deeds/e557c10e-ed0a-7dcb-e053-b784100a971b,"2861,209",KLAC01164000089,"2644,2605",KLAC01164000090
https://archief.amsterdam/indexen/deeds/d0092ad0-abca-1a7b-e053-b784100aab8a,"776,277",NOTG00054000213,"3065,3910",NOTG00054000213
,"267,136",A16039000037,"1700,2490",A16039000037
https://archief.amsterdam/indexen/deeds/bebf5fd4-f64a-1e00-e053-b784100af734,"743,1413",KLAG03343000049,"2584,2562",KLAG03343000049
,"204,99",KLAD02241000005,"1771,2389",KLAD02241000005
,"2979,1214",KLAD01893000064,"4967,3770",KLAD01893000064
https://archief.amsterdam/indexen/deeds/e557c10e-ed0d-7dcb-e053-b784100a971b,"482,181",KLAB04781000058,"2489,3788",KLAB04781000058
,"444,187",KLAB03099000208,"2647,3756",KLAB03099000208
,"413,137",KLAD01840000203,"1981,2614",KLAD01840000203
,"2953,196",KLAD01887000262,"4904,3634",KLAD01887000262
,"1995,98",KLAD03522000017,"1797,1613",KLAD03522000018
https://archief.amsterdam/indexen/deeds/e557c10e-d795-7dcb-e053-b784100a971b,"3107,182",KLAB04781000186,"4990,3779",KLAB04781000186
https://archief.amsterdam/indexen/deeds/9d6d21e2-824c-666d-e053-b784100a1840,"2433,114",A23647000029,"4311,3291",A23647000029
,"3175,229",KLAC01212000214,"2814,1542",KLAC01212000216
https://archief.amsterdam/indexen/deeds/d0092ad0-abdf-1a7b-e053-b784100aab8a,"2912,2089",NOTG00054000090,"5040,4139",NOTG00054000090
https://archief.amsterdam/indexen/deeds/9d6d21e2-f4dd-666d-e053-b784100a1840,"2482,71",A23647000142,"4378,3245",A23647000142
,"172,99",KLAD01936000019,"5006,1409",KLAD01936000019
https://archief.amsterdam/indexen/deeds/9d6d21e3-9f99-666d-e053-b784100a1840,"1998,41",A20362000017,"3376,2643",A20362000017
https://archief.amsterdam/indexen/deeds/a3cb51cc-24d8-50ee-e053-b784100a6caf,"2924,133",KLAB05562000087,"5051,3789",KLAB05562000087
https://archief.amsterdam/indexen/deeds/9d6d21e1-8033-666d-e053-b784100a1840,"2203,94",A30746000086,"2000,1627",A30746000087
,"3090,182",KLAD01899000095,"2864,2036",KLAD01899000096
,"2139,169",KLAD02241000097,"3690,2689",KLAD02241000097
https://archief.amsterdam/indexen/deeds/9d6d21e0-b96c-666d-e053-b784100a1840,"2227,111",A23653000078,"4061,2657",A23653000078
,"479,184",KLAC01212000057,"4881,2454",KLAC01212000057
,"380,116",A32419000031,"4780,3899",A32419000031
https://archief.amsterdam/indexen/deeds/9d6d21e2-f4e1-666d-e053-b784100a1840,"252,179",A23648000085,"2202,3279",A23648000085
,"2816,108",KLAD03195000054,"2275,3268",KLAD03195000055
https://archief.amsterdam/indexen/deeds/9d6d21e0-b96d-666d-e053-b784100a1840,"217,140",A23648000034,"2163,3271",A23648000034
,"2002,165",KLAD01877000122,"3611,2675",KLAD01877000122
,"2981,134",KLAB03099000044,"5018,3755",KLAB03099000044
,"2482,134",A23539000071,"4119,3183",A23539000071
,"2038,160",KLAD01877000055,"3626,2648",KLAD01877000055
https://archief.amsterdam/indexen/deeds/9d6d21e3-6716-666d-e053-b784100a1840,"248,170",A23648000072,"2185,3256",A23648000072
,"2793,245",A20014000092,"5020,3637",A20014000092
,"344,167",A24966000003,"4837,1634",A24966000003
https://archief.amsterdam/indexen/deeds/9d6d21e2-108a-666d-e053-b784100a1840,"2855,165",A20015000102,"4999,3649",A20015000102
,"210,188",NOTC00998000004,"2442,3954",NOTC00998000004
,"223,55",A33621000022,"2515,3741",A33621000022
,"3102,113",KLAB03099000240,"5030,3726",KLAB03099000240
,"2059,158",A16607000048,"3602,2688",A16607000048
https://archief.amsterdam/indexen/deeds/9d6d21e0-b9b2-666d-e053-b784100a1840,"2257,141",A23656000111,"3882,2629",A23656000111
,"2670,114",A33852000053,"5066,3721",A33852000053
,"2131,126",KLAD01840000208,"1995,1239",KLAD01840000209
https://archief.amsterdam/indexen/deeds/9d6d21e3-6757-666d-e053-b784100a1840,"2395,191",A23646000081,"4242,3035",A23646000081
,"3019,171",A24966000101,"5007,3793",A24966000101
https://archief.amsterdam/indexen/deeds/9d6d21e2-8298-666d-e053-b784100a1840,"2250,138",A23655000079,"4228,2688",A23655000079
https://archief.amsterdam/indexen/deeds/d0092ad0-a54a-1a7b-e053-b784100aab8a,"3175,2140",NOTG00054000152,"5406,3920",NOTG00054000152
,"336,155",A33864000119,"2408,3758",A33864000119
,"279,85",KLAB05520000052,"2440,3647",KLAB05520000052
https://archief.amsterdam/indexen/deeds/9d6d21e3-6758-666d-e053-b784100a1840,"522,166",A23653000052,"2225,2549",A23653000052
https://archief.amsterdam/indexen/deeds/9d6d21e3-6d80-666d-e053-b784100a1840,"3099,147",A30761000061,"5194,3854",A30761000062
,"425,151",A23539000016,"4068,3068",A23539000016
,"499,76",KLAD02331000093,"3656,1314",KLAD02331000093
https://archief.amsterdam/indexen/deeds/9d6d21e2-f529-666d-e053-b784100a1840,"257,170",A23661000012,"2091,2712",A23661000012
,"241,102",KLAD02194000008,"1786,2550",KLAD02194000008
,"2932,1852",KLAD03198000049,"2518,3635",KLAD03198000050
https://archief.amsterdam/indexen/deeds/d0092ad0-a586-1a7b-e053-b784100aab8a,"2982,410",NOTG00054000062,"5298,2465",NOTG00054000062
,"674,122",A31025000066,"5059,3591",A31025000066
,"2657,117",A31068000038,"4761,2403",A31068000039
,"2729,193",A20014000033,"5037,3843",A20014000033
https://archief.amsterdam/indexen/deeds/d0092ad0-a592-1a7b-e053-b784100aab8a,"3334,371",NOTG00054000328,"5549,3654",NOTG00054000328
,"330,78",KLAG03197000026,"2464,1420",KLAG03197000027
,"268,76",KLAD01971000015,"1706,2742",KLAD01971000015
,"3041,230",KLAD01887000268,"4903,3739",KLAD01887000268
,"439,138",A33641000066,"4788,1965",A33641000066
,"360,108",KLAD01958000073,"3567,1688",KLAD01958000073
https://archief.amsterdam/indexen/deeds/9d6d21e0-b9b6-666d-e053-b784100a1840,"2278,184",A23656000186,"3985,3023",A23656000186
https://archief.amsterdam/indexen/deeds/d0092ad0-a59b-1a7b-e053-b784100aab8a,"125,120",A23644000023,"2421,3721",A23644000023
https://archief.amsterdam/indexen/deeds/9d6d21e0-4670-666d-e053-b784100a1840,"2440,133",A23647000054,"4328,3259",A23647000054
,"893,207",KLAD01899000194,"5018,1956",KLAD01899000194
,"2190,144",KLAD01840000233,"3722,2602",KLAD01840000234
,"2824,102",KLAD03198000109,"2593,3759",KLAD03198000111
,"406,180",A25702000136,"1855,2797",A25702000136
,"2123,113",KLAD01555000068,"3743,2842",KLAD01555000068
,"2758,125",A16128000041,"5084,3613",A16128000041
https://archief.amsterdam/indexen/deeds/9d6d21e1-9e0e-666d-e053-b784100a1840,"237,179",A23646000146,"2201,3078",A23646000146
https://archief.amsterdam/indexen/deeds/9d6d21e3-c47d-666d-e053-b784100a1840,"2415,100",A23650000163,"4234,3192",A23650000163
https://archief.amsterdam/indexen/deeds/9d6d21e1-9e0f-666d-e053-b784100a1840,"258,163",A23647000044,"2127,3253",A23647000044
https://archief.amsterdam/indexen/deeds/9d6d21e1-3281-666d-e053-b784100a1840,"160,59",A20362000013,"1647,2649",A20362000013
,"2127,115",KLAD03522000038,"1849,2285",KLAD03522000039
https://archief.amsterdam/indexen/deeds/9d6d21e1-9e10-666d-e053-b784100a1840,"2364,135",A23658000124,"4092,2982",A23658000124
https://archief.amsterdam/indexen/deeds/9d6d21df-d4dc-666d-e053-b784100a1840,"2328,157",A23646000029,"4016,3066",A23646000029
,"2809,152",KLAD01557000057,"2452,3626",KLAD01557000058
https://archief.amsterdam/indexen/deeds/9d6d21df-d4dd-666d-e053-b784100a1840,"2481,107",A23647000131,"4336,3230",A23647000131
,"2005,163",KLAD01877000132,"3555,2681",KLAD01877000132
,"524,148",A24963000025,"2439,3753",A24963000025
https://archief.amsterdam/indexen/deeds/9d6d21e2-fbe0-666d-e053-b784100a1840,"641,131",A23654000158,"1976,3125",A23654000158
,"618,204",A33642000034,"4877,3040",A33642000034
,"447,177",A16039000102,"3466,2410",A16039000102
https://archief.amsterdam/indexen/deeds/9d6d21e1-a3c1-666d-e053-b784100a1840,"239,164",A23654000006,"1828,3092",A23654000006
,"2775,124",KLAD01983000023,"4943,3741",KLAD01983000023
https://archief.amsterdam/indexen/deeds/9d6d21e3-6798-666d-e053-b784100a1840,"2417,160",A23655000100,"4211,3063",A23655000100
,"2848,153",A32698000221,"4796,3604",A32698000221
https://archief.amsterdam/indexen/deeds/a3cb51cc-2524-50ee-e053-b784100a6caf,"2998,207",KLAB05562000150,"4971,3701",KLAB05562000150
https://archief.amsterdam/indexen/deeds/9d6d21e2-fc4b-666d-e053-b784100a1840,"171,137",A23651000181,"2064,1889",A23651000181
,"2755,171",A33641000038,"2360,2461",A33641000039
,"2833,134",A33864000081,"4830,3721",A33864000081
https://archief.amsterdam/indexen/deeds/9d6d21e0-c0d9-666d-e053-b784100a1840,"2539,123",A23654000163,"4060,3118",A23654000163
,"1871,131",A16581000007,"3504,2623",A16581000007
,"2037,97",KLAD01545000052,"1826,1444",KLAD01545000053
https://archief.amsterdam/indexen/deeds/d0092ad0-a62b-1a7b-e053-b784100aab8a,"256,182",A23644000151,"2586,2313",A23644000151
,"2167,79",KLAD02331000059,"1797,1740",KLAD02331000060
https://archief.amsterdam/indexen/deeds/9d6d21e1-3270-666d-e053-b784100a1840,"246,167",A23651000150,"2009,2908",A23651000150
https://archief.amsterdam/indexen/deeds/9d6d21e1-32bb-666d-e053-b784100a1840,"2032,1016",A30772000039,"1795,2695",A30772000040
https://archief.amsterdam/indexen/deeds/9d6d21df-d527-666d-e053-b784100a1840,"325,78",A23653000043,"2238,2816",A23653000043
,"515,2084",KLAD02331000084,"3595,1393",KLAD02331000084
,"586,128",A32698000081,"2498,3728",A32698000081
,"367,176",A20014000031,"5013,2570",A20014000031
,"299,98",KLAD02222000108,"1725,1684",KLAD02222000109
https://archief.amsterdam/indexen/deeds/bebf5fd5-08fe-1e00-e053-b784100af734,"315,208",KLAG03343000030,"2531,3458",KLAG03343000030
,"3069,175",KLAB03099000216,"5115,3845",KLAB03099000216
,"352,122",KLAD01887000026,"4869,3743",KLAD01887000027
,"535,192",KLAB03099000168,"5099,3762",KLAB03099000168
,"448,166",KLAB05564000186,"2527,2961",KLAB05564000186
,"343,87",A33621000095,"5048,2307",A33621000095
https://archief.amsterdam/indexen/deeds/bebf5fd5-0901-1e00-e053-b784100af734,"2721,146",KLAG03343000017,"4928,3074",KLAG03343000017
,"451,180",KLAB03099000189,"2637,3799",KLAB03099000189
,"292,146",A16039000047,"1779,2504",A16039000047
,"378,146",KLAB05564000041,"4784,2360",KLAB05564000041
,"2800,1794",A20429000011,"2624,3581",A20429000012
https://archief.amsterdam/indexen/deeds/9d6d21e2-fc97-666d-e053-b784100a1840,"2666,170",A23645000251,"4466,3364",A23645000251
https://archief.amsterdam/indexen/deeds/9d6d21e3-6e06-666d-e053-b784100a1840,"704,217",A30768000098,"2681,3945",A30768000098
,"2151,1163",KLAD01840000032,"3532,2506",KLAD01840000033
https://archief.amsterdam/indexen/deeds/9d6d21e2-fc99-666d-e053-b784100a1840,"2499,200",A23645000101,"4420,3325",A23645000101
,"464,212",A20429000104,"2893,4029",A20429000104
,"2816,141",A32419000034,"4661,3393",A32419000034
https://archief.amsterdam/indexen/deeds/9d6d21e0-b9f1-666d-e053-b784100a1840,"403,129",A23647000162,"2267,3281",A23647000162
,"3148,494",A30705000004,"2935,1824",A30705000005
