id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
https://archief.amsterdam/indexen/deeds/e557c10e-e43c-7dcb-e053-b784100a971b,"418,189",KLAB04781000087,"2384,3583",KLAB04781000087
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b,"521,191",KLAB04781000059,"2294,3753",KLAB04781000060
,"392,176",A24963000007,"2358,3741",A24963000007
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb4-1a7b-e053-b784100aab8a,"856,318",NOTG00054000089,"2800,2126",NOTG00054000089
,"2167,146",KLAD03522000094,"3688,977",KLAD03522000094
,"781,169",KLAD01899000176,"5189,3591",KLAD01899000176
https://archief.amsterdam/indexen/deeds/d0092ad0-4eb9-1a7b-e053-b784100aab8a,"190,121",A23644000201,"2427,3720",A23644000201
,"2934,460",A30705000013,"5537,4271",A30705000013
https://archief.amsterdam/indexen/deeds/9d6d21e3-a73f-666d-e053-b784100a1840,"2161,22",A30772000063,"3645,2798",A30772000063
,"2010,187",A16415000014,"3261,2608",A16415000014
,"2680,78",KLAB05520000057,"4835,3698",KLAB05520000057
,"668,1934",KLAC01212000200,"5173,2025",KLAC01212000200
,"437,63",KLAG03197000005,"4954,3340",KLAG03197000007
,"2023,139",KLAD01959000004,"3568,2847",KLAD01959000004
,"2632,66",KLAG03197000043,"2241,2787",KLAG03197000044
,"3009,243",KLAC01212000110,"2637,1753",KLAC01212000111
https://archief.amsterdam/indexen/deeds/d0092ad0-4ed3-1a7b-e053-b784100aab8a,"183,151",A23644000219,"2406,3747",A23644000219
,"357,119",KLAG03197000024,"4938,3264",KLAG03197000024
https://archief.amsterdam/indexen/deeds/9d6d21e2-30ed-666d-e053-b784100a1840,"112,68",A20362000007,"1630,2643",A20362000007
,"488,158",A20014000082,"2695,3774",A20014000082
,"1970,171",A16581000060,"1759,2631",A16581000062
https://archief.amsterdam/indexen/deeds/e557c10f-4dbf-7dcb-e053-b784100a971b,"2814,220",KLAB04781000021,"2343,3700",KLAB04781000022
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9f0-666d-e053-b784100a1840,"2627,155",A23647000218,"4459,3269",A23647000218
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fa-666d-e053-b784100a1840,"438,282",A23655000034,"2062,3104",A23655000034
,"390,174",KLAD01877000080,"3645,1470",KLAD01877000080
,"515,137",KLAD01978000079,"2518,3804",KLAD01978000079
https://archief.amsterdam/indexen/deeds/9d6d21e2-156f-666d-e053-b784100a1840,"395,246",A23645000166,"2317,3314",A23645000166
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd6-666d-e053-b784100a1840,"520,97",A20015000087,"2646,3683",A20015000087
,"312,77",KLAD02233000040,"3586,1292",KLAD02233000040
https://archief.amsterdam/indexen/deeds/9d6d21e3-7a5f-666d-e053-b784100a1840,"2421,241",A23655000184,"4320,2922",A23655000184
https://archief.amsterdam/indexen/deeds/9d6d21e1-3fd7-666d-e053-b784100a1840,"114,120",A23650000121,"2183,3204",A23650000121
https://archief.amsterdam/indexen/deeds/9d6d21df-f4ef-666d-e053-b784100a1840,"1983,42",A20362000024,"3327,2597",A20362000024
,"2656,167",KLAD01887000045,"4812,3673",KLAD01887000049
,"2228,139",NOTD00101000018,"3842,1354",NOTD00101000019
,"2922,167",KLAD03197000094,"4913,3727",KLAD03197000095
https://archief.amsterdam/indexen/deeds/9d6d21df-e8dc-666d-e053-b784100a1840,"431,111",A23656000081,"2010,2944",A23656000081
,"592,202",KLAD01885000252,"2662,3777",KLAD01885000252
,"537,172",A20014000090,"5001,1449",A20014000090
,"2988,526",A30705000061,"5114,1516",A30705000061
,"506,118",KLAD02331000056,"3563,1586",KLAD02331000056
,"341,83",KLAD02241000041,"1905,1002",KLAD02241000041
,"3038,1004",A33642000050,"2539,3667",A33642000051
https://archief.amsterdam/indexen/deeds/9d6d21e3-08fb-666d-e053-b784100a1840,"461,184",A23656000060,"2054,2309",A23656000060
https://archief.amsterdam/indexen/deeds/e557c10f-60f1-7dcb-e053-b784100a971b,"625,114",KLAB04781000136,"2598,3750",KLAB04781000136
,"505,138",A23539000014,"4001,1975",A23539000014
https://archief.amsterdam/indexen/deeds/bebf5fd4-ef79-1e00-e053-b784100af734,"262,164",KLAG03343000073,"2358,2690",KLAG03343000073
