id,label,xywh,scanname
https://archief.amsterdam/indexen/deeds/9d6d21e0-66da-666d-e053-b784100a1840?location=Location2,Haderslee uijt Holstain,"3265,487,650,66",A23654000196
https://archief.amsterdam/indexen/deeds/9d6d21e2-2494-666d-e053-b784100a1840?location=Location1,Bremen,"2722,2347,194,45",A20015000033
https://archief.amsterdam/indexen/deeds/9d6d21e1-4acf-666d-e053-b784100a1840?location=Location1,Edam,"1993,2197,324,106",A30768000052
https://archief.amsterdam/indexen/deeds/9d6d21e1-4acf-666d-e053-b784100a1840?location=Location2,Oost Indien,"1074,2088,389,100",A30768000052
https://archief.amsterdam/indexen/deeds/9d6d21e1-4acf-666d-e053-b784100a1840?location=Location3,Texel,"1278,1988,274,118",A30768000052
https://archief.amsterdam/indexen/deeds/9d6d21e0-6724-666d-e053-b784100a1840?location=Location1,Londen in Engelt.,"2140,368,172,89",A23654000151
https://archief.amsterdam/indexen/deeds/9d6d21e0-6724-666d-e053-b784100a1840?location=Location2,Waimouth,"1524,1738,346,59",A23654000151
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location1,Ench.,"1705,397,194,114",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location2,Venetien,"1492,643,291,109",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location3,Barbarijsche Custe,"3668,582,619,84",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location4,Middelb.,"1435,882,281,90",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location5,Pampus,"1091,1664,308,90",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location6,Der Schelling,"1108,962,391,92",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location7,Golfo van Narbona,"4091,470,617,90",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location8,Der Gouw,"1830,737,328,94",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b?location=Location9,Middellantsche See,"3360,498,669,92",KLAB04781000116
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b?location=Location1,Cartagana,"1911,2502,270,66",KLAB04781000078
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b?location=Location2,Curacao,"910,1686,247,56",KLAB04781000078
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b?location=Location3,Spagnen,"2296,1676,210,67",KLAB04781000078
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b?location=Location4,Herfort in Westphalen,"2466,1583,209,71",KLAB04781000078
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b?location=Location5,Lester,"2435,3134,175,62",KLAB04781000078
https://archief.amsterdam/indexen/deeds/bebf5fd4-ef63-1e00-e053-b784100af734?location=Location1,Stralsundt,"3472,458,389,82",KLAG03343000115
https://archief.amsterdam/indexen/deeds/9d6d21e1-2f9b-666d-e053-b784100a1840?location=Location1,Schotlandt,"1523,486,309,97",A23651000112
https://archief.amsterdam/indexen/deeds/9d6d21e1-2f9b-666d-e053-b784100a1840?location=Location2,Edenborch,"826,2028,345,67",A23651000112
https://archief.amsterdam/indexen/deeds/9d6d21e1-2f9b-666d-e053-b784100a1840?location=Location3,Pernamb,"1014,2091,254,52",A23651000112
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d0-666d-e053-b784100a1840?location=Location1,Hamb,"1463,2029,196,89",A23650000048
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d0-666d-e053-b784100a1840?location=Location2,Oldenb,"1943,1933,204,80",A23650000048
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d0-666d-e053-b784100a1840?location=Location3,Rosendaal,"732,595,474,80",A23650000048
https://archief.amsterdam/indexen/deeds/a3cb51cc-6564-50ee-e053-b784100a6caf?location=Location1,Hamborgh,"4193,1068,336,104",KLAB05562000183
https://archief.amsterdam/indexen/deeds/a3cb51cc-6564-50ee-e053-b784100a6caf?location=Location2,Oost Indien,"4348,1234,396,93",KLAB05562000183
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d1-666d-e053-b784100a1840?location=Location1,Bahia,"3555,519,110,47",A23657000089
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d1-666d-e053-b784100a1840?location=Location2,Doederstadt,"3343,1757,408,68",A23657000089
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d1-666d-e053-b784100a1840?location=Location3,Brasil,"3914,452,211,44",A23657000089
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d1-666d-e053-b784100a1840?location=Location4,Deventer,"3203,466,241,65",A23657000089
https://archief.amsterdam/indexen/deeds/9d6d21e2-1527-666d-e053-b784100a1840?location=Location1,Statijn,"1197,728,272,105",A23645000039
https://archief.amsterdam/indexen/deeds/9d6d21e2-1527-666d-e053-b784100a1840?location=Location2,Veltrijlen,"1644,1889,419,109",A23645000039
https://archief.amsterdam/indexen/deeds/d0092ad0-4e9c-1a7b-e053-b784100aab8a?location=Location1,Bremen,"2255,228,316,185",A23644000324
https://archief.amsterdam/indexen/deeds/9d6d21e3-6b7d-666d-e053-b784100a1840?location=Location1,Acxserschier,"770,707,362,79",A23645000010
https://archief.amsterdam/indexen/deeds/9d6d21e3-6b7d-666d-e053-b784100a1840?location=Location2,Londen,"1528,1631,267,123",A23645000010
https://archief.amsterdam/indexen/deeds/9d6d21e2-5d97-666d-e053-b784100a1840?location=Location1,Utrecht,"819,667,297,102",KLAB05528000013
https://archief.amsterdam/indexen/deeds/9d6d21e1-be4e-666d-e053-b784100a1840?location=Location1,Wttreght,"1192,472,281,81",A30708000065
https://archief.amsterdam/indexen/deeds/9d6d21e1-be4e-666d-e053-b784100a1840?location=Location2,Der Goes,"1376,1041,233,87",A30708000065
https://archief.amsterdam/indexen/deeds/9d6d21e1-be4e-666d-e053-b784100a1840?location=Location3,Schotlant,"662,403,379,72",A30708000065
https://archief.amsterdam/indexen/deeds/9d6d21e1-be4e-666d-e053-b784100a1840?location=Location4,Oost Indien,"1117,1124,287,77",A30708000065
https://archief.amsterdam/indexen/deeds/9d6d21e2-963e-666d-e053-b784100a1840?location=Location1,Bolsuart in Vrieslandt,"4417,431,499,80",A20015000019
https://archief.amsterdam/indexen/deeds/9d6d21e2-963e-666d-e053-b784100a1840?location=Location2,Aelst,"3670,2172,347,112",A20015000019
https://archief.amsterdam/indexen/deeds/9d6d21e3-7a1e-666d-e053-b784100a1840?location=Location1,Oost Indien,"3711,531,428,93",A23650000236
https://archief.amsterdam/indexen/deeds/9d6d21e3-7a1e-666d-e053-b784100a1840?location=Location2,Eedenburch,"2935,473,425,72",A23650000236
https://archief.amsterdam/indexen/deeds/e557c10e-e43c-7dcb-e053-b784100a971b?location=Location1,Westindien,"2292,750,384,96",KLAB04781000087
https://archief.amsterdam/indexen/deeds/e557c10e-e43c-7dcb-e053-b784100a971b?location=Location2,Curacao,"2284,587,354,96",KLAB04781000087
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location1,Vaelmuijden,"3643,1395,441,78",KLAB04781000059
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location2,Pleijmouth,"4276,3139,351,80",KLAB04781000059
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location3,Maes,"1651,313,239,65",KLAB04781000060
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location4,Duldieucx,"986,466,296,85",KLAB04781000059
https://archief.amsterdam/indexen/deeds/e557c10f-3884-7dcb-e053-b784100a971b?location=Location5,Texel,"1412,1461,239,90",KLAB04781000060
